Data;Close;;;;;
31.10.2023;11.19;;;;;
30.10.2023;11.2;;;;;
27.10.2023;11.04;;;;;
26.10.2023;11.1;;;;;
25.10.2023;11.35;;;;;
24.10.2023;10.88;;;;;
23.10.2023;10;;;;;
20.10.2023;9.6;;;;;
19.10.2023;9.31;;;;;
18.10.2023;9.24;;;;;
17.10.2023;9.27;;;;;
16.10.2023;9.19;;;;;
13.10.2023;8.76;;;;;
12.10.2023;8.69;;;;;
11.10.2023;8.68;;;;;
10.10.2023;8.89;;;;;
09.10.2023;8.99;;;;;
06.10.2023;9.07;;;;;
05.10.2023;9;;;;;
04.10.2023;8.99;;;;;
03.10.2023;8.99;;;;;
02.10.2023;9.31;;;;;
29.09.2023;8.73;;;;;
28.09.2023;8.75;;;;;
27.09.2023;8.59;;;;;
26.09.2023;8.5;;;;;
25.09.2023;8.52;;;;;
22.09.2023;8.61;;;;;
21.09.2023;8.57;;;;;
20.09.2023;8.71;;;;;
19.09.2023;8.84;;;;;
18.09.2023;8.79;;;;;
15.09.2023;8.48;;;;;
14.09.2023;8.59;;;;;
13.09.2023;8.42;;;;;
12.09.2023;8.41;;;;;
11.09.2023;8.05;;;;;
08.09.2023;8.31;;;;;
07.09.2023;8.29;;;;;
06.09.2023;8.23;;;;;
05.09.2023;8.26;;;;;
04.09.2023;8.28;;;;;
01.09.2023;8.27;;;;;
31.08.2023;8.61;;;;;
30.08.2023;8.57;;;;;
29.08.2023;8.68;;;;;
28.08.2023;8.33;;;;;
25.08.2023;8.29;;;;;
24.08.2023;8.29;;;;;
23.08.2023;8.29;;;;;
22.08.2023;8.25;;;;;
21.08.2023;8.2;;;;;
18.08.2023;8.27;;;;;
17.08.2023;8.97;;;;;
16.08.2023;9.21;;;;;
15.08.2023;9.26;;;;;
14.08.2023;9.35;;;;;
11.08.2023;9.24;;;;;
10.08.2023;9.23;;;;;
09.08.2023;9.34;;;;;
08.08.2023;9.28;;;;;
07.08.2023;9.03;;;;;
04.08.2023;9.14;;;;;
03.08.2023;9.2;;;;;
02.08.2023;9.25;;;;;
01.08.2023;9.03;;;;;
31.07.2023;9.16;;;;;
28.07.2023;9.21;;;;;
27.07.2023;9.2;;;;;
26.07.2023;9.13;;;;;
25.07.2023;9.12;;;;;
24.07.2023;9.06;;;;;
21.07.2023;9.28;;;;;
20.07.2023;9.24;;;;;
19.07.2023;9.22;;;;;
18.07.2023;9.18;;;;;
17.07.2023;9.28;;;;;
14.07.2023;9.61;;;;;
13.07.2023;9.53;;;;;
12.07.2023;9.51;;;;;
11.07.2023;9.62;;;;;
10.07.2023;9.53;;;;;
07.07.2023;9.56;;;;;
06.07.2023;9.62;;;;;
05.07.2023;9.62;;;;;
04.07.2023;9.83;;;;;
03.07.2023;9.82;;;;;
30.06.2023;9.49;;;;;
29.06.2023;9.71;;;;;
28.06.2023;9.63;;;;;
27.06.2023;9.66;;;;;
26.06.2023;9.63;;;;;
23.06.2023;9.77;;;;;
22.06.2023;9.4;;;;;
21.06.2023;9.46;;;;;
20.06.2023;8.49;;;;;
19.06.2023;8.34;;;;;
16.06.2023;8.09;;;;;
15.06.2023;7.9;;;;;
14.06.2023;8.28;;;;;
13.06.2023;8.26;;;;;
12.06.2023;8.32;;;;;
